run_id,preprocess_method,h,block_size,c_value,processed,recognized_docs,keyword_hits,avg_accuracy,avg_keyword_hits
2026-03-16T16:47:51,none,3,11,25,75,35,35,0.466667,0.466667
2026-03-16T16:58:34,none,paddle,3,11,25,75,67,64,0.893333,0.853333
2026-03-16T17:02:27,preprocess,paddle,3,11,25,75,65,63,0.866667,0.840000
2026-03-16T17:09:01,none,tesseract,3,11,25,66,35,35,0.530303,0.530303
2026-03-16T17:10:56,preprocess,tesseract,3,11,25,66,21,21,0.318182,0.318182
2026-03-16T17:13:45,preprocess,paddle,3,11,25,66,65,63,0.984848,0.954545
2026-03-17T09:20:01,none,tesseract,3,11,25,66,35,35,0.530303,0.530303
2026-03-17T09:21:43,none,paddle,3,11,25,66,65,64,0.984848,0.969697
2026-03-17T09:23:57,preprocess,paddle,3,11,25,66,65,63,0.984848,0.954545
2026-03-17T09:34:53,none,easyocr,3,11,25,66,58,48,0.878788,0.727273
2026-03-17T09:39:29,preprocess,easyocr,3,11,25,66,55,45,0.833333,0.681818
2026-03-17T09:44:23,none,paddle,3,11,25,66,65,64,0.984848,0.969697
2026-03-17T10:18:28,preprocess,paddle,3,11,25,2,2,3,1.000000,1.500000
